damage,xcentroid,ycentroid
.98305082,-95.016602,29.6656
1.125,-95.016342,29.816284
1,-95.016624,29.73896
1.9912421,-95.017288,29.911316
1,-95.017899,29.728025
1.0995041,-95.01931,29.41202
2.0730717,-95.021606,29.956434
1,-95.022095,29.658478
1,-95.023323,29.664251
1,-95.023338,29.667814
1,-95.02417,29.568798
1,-95.024551,29.521751
1,-95.024673,29.514675
1,-95.025002,29.531317
2,-95.026619,29.910089
1,-95.026764,29.811195
2,-95.026619,29.549105
1,-95.02771,29.484482
3.9201877,-95.02771,29.364677
2,-95.027885,29.661694
1,-95.029129,29.472042
1,-95.029091,29.813189
1.836054,-95.029854,29.56171
2,-95.029999,29.462141
1,-95.030579,29.52393
.99404055,-95.031601,29.571762
1.5696721,-95.031593,29.806084
1,-95.032265,29.505749
1.6975,-95.03315,29.469433
3,-95.033287,29.947262
1.8655789,-95.034302,29.547911
2.7301774,-95.034584,29.412186
1,-95.034462,29.897396
1.2588235,-95.03466,29.751387
1,-95.035576,29.796808
2.9837153,-95.036827,30.045464
1,-95.03672,29.798622
.99900103,-95.036781,29.56765
1,-95.037994,29.818022
1,-95.039223,29.797092
.996463,-95.039215,29.519758
1,-95.039474,29.468365
1,-95.042458,29.524796
1,-95.04277,29.532066
1,-95.044426,29.524826
1,-95.044624,29.527752
1.9776068,-95.044525,29.783846
1,-95.044777,29.471521
1,-95.046448,29.812176
1,-95.047279,29.513037
.99888611,-95.047295,29.472248
3,-95.047653,29.867794
1.9353234,-95.048088,29.81934
1,-95.016701,29.664602
1,-95.048615,29.68479
1,-95.049164,29.677387
.99797571,-95.049255,29.471722
.99688333,-95.049408,29.465887
1,-95.049965,29.81155
1,-95.05014,29.546913
1,-95.017456,29.406441
1.9,-95.018188,29.923838
1,-95.019302,29.910702
1,-95.050285,29.510225
1,-95.052063,29.395609
2.5311713,-95.052109,29.494677
1.7751597,-95.019897,29.65626
1.0137712,-95.020432,29.803915
1.1405371,-95.021797,29.567108
1.7134147,-95.022408,29.553495
3,-95.052208,29.572853
1,-95.052193,29.844826
1.011236,-95.052666,29.447603
1.6896552,-95.05352,29.477207
1,-95.022247,29.669107
1.9955056,-95.022644,29.919029
1.6877511,-95.022995,29.532209
1,-95.023415,29.562462
1.9801095,-95.024376,29.822195
2,-95.054382,29.686054
.99949497,-95.055557,29.5109
1,-95.055687,29.816622
1.963037,-95.02462,29.476841
1.5543071,-95.02597,29.518148
1.377892,-95.026772,29.661644
1,-95.026962,29.820864
1,-95.056313,29.471088
2,-95.056648,29.668514
1,-95.05703,29.519773
1.4395088,-95.028206,29.361584
1.7841585,-95.028305,29.812756
